OBSERVATION_DATETIME,mexico_city,reykjavik,anchorage,cape_horn,albuquerque,buenos_aires,vancouver,brasilia,nyc
2011-07-11,290.700012207,283.070007324,284.41998291,276.16998291,294.66998291,287.650024414,284.619995117,294.049987793,299.720001221
2011-07-12,289.700012207,284.25,282.400024414,275.950012207,295.100006104,284.929992676,283.900024414,292.100006104,300.070007324
2011-07-13,290.150024414,284.75,284.049987793,275.900024414,295.41998291,284.700012207,282.91998291,292.520019531,295.029998779
2011-07-14,290.270019531,285.100006104,283.850006104,274.850006104,296.779998779,287.970001221,283.049987793,295.08001709,295.119995117
2011-07-15,289.049987793,283.75,284.850006104,274.220001221,298.33001709,282.75,284.16998291,297.33001709,296.400024414
2011-07-16,289.950012207,283.549987793,284.25,277.119995117,298.66998291,280.950012207,284.650024414,298.799987793,297.100006104
2011-07-17,290.119995117,283.950012207,281.220001221,276.700012207,297.279998779,281.350006104,285.369995117,299.350006104,297.869995117
2011-07-18,289.950012207,285.16998291,279.720001221,277.020019531,297.75,280.66998291,284.66998291,298.450012207,298.83001709
2011-07-19,290.070007324,283.350006104,282.619995117,277.020019531,295.799987793,279.020019531,283.450012207,298.08001709,297.299987793
2011-07-20,290.850006104,282.600006104,285.91998291,276.100006104,296.25,279.929992676,282.66998291,295.520019531,298.5
2011-07-21,290.869995117,283.869995117,288.320007324,275.470001221,296.58001709,280.220001221,282.820007324,295.5,301.619995117
2011-07-22,289.820007324,284.869995117,289.049987793,275.529998779,294.470001221,282.66998291,282.900024414,294.75,303.020019531
2011-07-23,290.25,285.41998291,284.049987793,273.220001221,297.16998291,284.16998291,286.369995117,294.950012207,301.350006104
2011-07-24,290.020019531,284.16998291,282.619995117,273.570007324,297.020019531,290.75,288.020019531,294.799987793,297.700012207
2011-07-25,289.850006104,285.270019531,280.850006104,274.049987793,295.75,285.119995117,283.820007324,295.25,297.350006104
2011-07-26,290.320007324,285.5,282.720001221,274.5,294.150024414,282.869995117,283.119995117,295.150024414,297.650024414
2011-07-27,290.220001221,284.029998779,283.700012207,274.020019531,295.650024414,283.119995117,284.350006104,295.58001709,298.299987793
2011-07-28,290.700012207,284.049987793,284.470001221,275.200012207,295.869995117,282.5,284.41998291,297.400024414,298.58001709
2011-07-29,289.91998291,283.150024414,283.900024414,274.450012207,296.770019531,276.5,285.100006104,298.470001221,299.799987793
2011-07-30,289.049987793,284.049987793,283.119995117,274.400024414,294.400024414,275.5,284.16998291,298.41998291,299.350006104
2011-07-31,288.91998291,284.66998291,281.950012207,275.799987793,293.049987793,276.470001221,282.950012207,301.270019531,298.83001709
2011-08-01,290.049987793,284.100006104,282.029998779,275.200012207,294.869995117,277.700012207,285.970001221,299.33001709,298.220001221
2011-08-02,290.200012207,283.950012207,281.900024414,273.850006104,298.150024414,282.029998779,286.320007324,299.549987793,298.049987793
2011-08-03,289.369995117,284.220001221,281.66998291,275.799987793,295.950012207,277.650024414,286.950012207,296.850006104,296.0
2011-08-04,290.570007324,284.91998291,280.400024414,274.299987793,295.470001221,282.150024414,286.700012207,295.020019531,296.119995117
2011-08-05,290.5,284.320007324,278.400024414,272.150024414,295.869995117,283.970001221,285.0,299.770019531,297.0
2011-08-06,289.850006104,284.820007324,279.25,274.16998291,295.83001709,285.369995117,284.600006104,298.299987793,298.299987793
2011-08-07,290.029998779,283.66998291,278.150024414,274.820007324,296.049987793,285.25,285.770019531,298.600006104,298.91998291
2011-08-08,290.799987793,284.150024414,279.279998779,276.770019531,296.799987793,285.650024414,284.970001221,300.75,298.200012207
2011-08-09,291.020019531,285.950012207,277.850006104,277.869995117,294.66998291,288.100006104,284.5,300.070007324,297.450012207
2011-08-10,290.929992676,283.75,279.869995117,277.0,294.020019531,290.549987793,284.119995117,300.400024414,296.299987793
2011-08-11,291.66998291,283.179992676,281.75,273.869995117,294.070007324,291.970001221,284.049987793,299.119995117,295.369995117
2011-08-12,290.549987793,282.91998291,283.799987793,273.679992676,297.020019531,283.799987793,284.520019531,300.549987793,297.320007324
2011-08-13,289.820007324,280.75,281.400024414,274.070007324,293.799987793,281.450012207,283.820007324,298.58001709,296.0
2011-08-14,289.320007324,281.0,279.770019531,274.799987793,294.200012207,281.950012207,283.200012207,297.600006104,295.119995117
2011-08-15,289.799987793,281.070007324,282.150024414,274.5,292.929992676,285.799987793,283.369995117,296.150024414,294.119995117
2011-08-16,289.66998291,280.850006104,282.679992676,274.070007324,296.850006104,284.450012207,284.549987793,296.200012207,295.600006104
2011-08-17,289.25,281.850006104,281.570007324,274.200012207,296.600006104,285.5,284.799987793,298.869995117,296.600006104
2011-08-18,290.220001221,281.850006104,280.900024414,273.799987793,295.200012207,280.600006104,284.900024414,298.58001709,295.929992676
2011-08-19,290.799987793,281.600006104,282.450012207,276.279998779,294.650024414,277.720001221,286.770019531,299.549987793,295.220001221
2011-08-20,289.799987793,281.369995117,280.75,277.350006104,296.400024414,276.950012207,289.320007324,298.520019531,296.950012207
2011-08-21,289.869995117,281.549987793,281.25,277.41998291,296.270019531,276.270019531,287.299987793,298.450012207,295.58001709
2011-08-22,290.100006104,282.25,280.520019531,276.100006104,296.350006104,277.299987793,284.600006104,297.679992676,293.049987793
2011-08-23,290.299987793,281.700012207,279.029998779,274.600006104,300.029998779,282.5,285.5,298.83001709,294.66998291
2011-08-24,290.720001221,280.869995117,279.570007324,275.320007324,296.700012207,284.770019531,286.350006104,298.770019531,296.299987793
2011-08-25,290.119995117,279.770019531,280.470001221,275.200012207,296.91998291,281.25,287.0,299.900024414,296.16998291
2011-08-26,291.049987793,280.320007324,282.16998291,275.950012207,299.200012207,283.119995117,287.029998779,300.08001709,296.270019531
2011-08-27,290.049987793,282.119995117,281.049987793,276.25,298.029998779,284.75,285.850006104,300.270019531,295.350006104
2011-08-28,289.450012207,283.150024414,281.5,275.779998779,298.270019531,285.100006104,287.100006104,299.869995117,292.0
2011-08-29,289.720001221,284.41998291,282.25,276.0,296.83001709,284.049987793,283.66998291,300.020019531,293.0
2011-08-30,290.350006104,284.679992676,280.650024414,276.549987793,299.619995117,282.020019531,282.700012207,302.400024414,294.520019531
2011-08-31,290.100006104,283.549987793,278.41998291,278.049987793,297.950012207,280.520019531,283.479980469,302.650024414,295.020019531
2011-09-01,290.070007324,282.869995117,280.200012207,277.450012207,296.41998291,282.450012207,281.720001221,302.700012207,293.650024414
2011-09-02,290.650024414,282.299987793,279.470001221,276.869995117,295.150024414,289.75,282.720001221,301.799987793,294.41998291
2011-09-03,290.520019531,281.900024414,277.91998291,274.820007324,293.900024414,287.570007324,286.900024414,300.08001709,296.619995117
2011-09-04,290.0,282.520019531,278.799987793,274.41998291,290.150024414,283.700012207,286.5,297.470001221,296.619995117
2011-09-05,289.270019531,282.119995117,281.970001221,273.520019531,291.5,284.220001221,285.66998291,298.16998291,293.049987793
2011-09-06,288.200012207,279.200012207,279.720001221,274.770019531,292.200012207,287.850006104,286.200012207,298.66998291,293.619995117
2011-09-07,287.619995117,276.429992676,280.5,274.75,290.350006104,288.41998291,287.75,299.869995117,294.720001221
